id;dclass ;dname;define;clabel
11;http://purl.bioontology.org/ontology/MESH/D018237;Administration, Intravesical;A malignant neoplasm of the germinal tissue of the GONADS;Germinomas
12;http://purl.bioontology.org/ontology/MESH/D051798;Adoptive Transfer;A HELIX-LOOP-HELIX MOTIF-containing negative regulator of BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS that blocks activation of CYCLIN-DEPENDENT KINASE INHIBITOR P16 and is de-regulated in a variety of NEOPLASMS.;DNA Binding Protein Inhibitor ID1,Inhibitor of DNA Binding Protein 1,DNA-Binding Protein Inhibitor ID1
13;http://purl.bioontology.org/ontology/MESH/D010051;Adrenal Rest Tumor;Tumors or cancer of the OVARY. These neoplasms can be benign or malignant. They are classified according to the tissue of origin, such as the surface EPITHELIUM, the stromal endocrine cells, and the totipotent GERM CELLS.;Ovary Cancers,Neoplasms, Ovary,Cancer of the Ovary,Ovary Neoplasm,Ovarian Neoplasm,Cancer, Ovarian,Cancers, Ovary,Cancer, Ovary,Cancers, Ovarian,Neoplasms, Ovarian,Cancer of Ovary,Neoplasm, Ovarian,Neoplasm, Ovary,Ovary Neoplasms,Ovary Cancer,Ovarian Cancer,Ovarian Cancers
14;http://purl.bioontology.org/ontology/MESH/D009372;Adrenocortical Adenoma;Neoplasms composed of connective tissue, including elastic, mucous, reticular, osseous, and cartilaginous tissue. The concept does not refer to neoplasms located in connective tissue.;Connective Tissue Neoplasms,Neoplasm, Connective Tissue,Connective Tissue Neoplasm
15;http://purl.bioontology.org/ontology/MESH/D051927;Adrenocortical Carcinoma;A GPI-linked cell adhesion protein originally identified as a heat stable antigen in mice. It mediates antigen-dependent activation and proliferation of B-CELLS. It is also involved in METASTASIS and is highly expressed in many NEOPLASMS.;Heat Stable Antigen CD24,CD24, Heat-Stable Antigen,CD24 Antigens,Heat-Stable Antigen CD24,Nectadrin,Antigen, CD24,Antigens, CD24
16;http://purl.bioontology.org/ontology/MESH/D009369;Adrenogenital Syndrome;New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.;Benign Neoplasms,Benign Neoplasm,Neoplasm,Tumors,Neoplasms, Malignant,Cancer,Malignancies,Neoplasm, Benign,Malignant Neoplasm,Malignant Neoplasms,Cancers,Neoplasias,Neoplasm, Malignant,Neoplasms, Benign,Neoplasia,Malignancy,Tumor
17;http://purl.bioontology.org/ontology/MESH/D000970;Alphapapillomavirus;Substances that inhibit or prevent the proliferation of NEOPLASMS.;Drug, Chemotherapeutic Anticancer,Drugs, Antitumor,Agents, Antineoplastic,Drugs, Cancer Chemotherapy,Antineoplastics,Antineoplastic Drugs,Agents, Cancer Chemotherapy,Cancer Chemotherapy Agents,Antitumor Agents,Antitumor Drugs,Chemotherapy Drugs, Cancer,Chemotherapeutic Anticancer Drug,Anticancer Agents,Drugs, Antineoplastic,Chemotherapeutic Anticancer Agents,Chemotherapy Agents, Cancer,Agents, Antitumor,Agents, Chemotherapeutic Anticancer,Cancer Chemotherapy Drugs,Agents, Anticancer
18;http://purl.bioontology.org/ontology/MESH/D015174;Angiofibroma;Neoplasms located in the space between the vertebral PERIOSTEUM and DURA MATER surrounding the SPINAL CORD. Tumors in this location are most often metastatic in origin and may cause neurologic deficits by mass effect on the spinal cord or nerve roots or by interfering with blood supply to the spinal cord.;Malignant Epidural Neoplasm,Malignant Epidural Neoplasms,Epidural Tumor,Epidural Tumors,Neoplasms, Epidural,Epidural Neoplasm,Epidural Neoplasms, Malignant,Epidural Neoplasm, Malignant
19;http://purl.bioontology.org/ontology/MESH/D017169;Angiokeratoma;Tumors, cancer or other neoplasms caused by or resulting from trauma or other non-radiation injuries.;Post Traumatic Neoplasms,Malignancy, Post-Traumatic,Post-Traumatic Cancers,Post-Traumatic Neoplasms,Post-Traumatic Malignancy,Post-Traumatic Cancer,Cancers, Post-Traumatic,Neoplasms, Post Traumatic,Malignancies, Post-Traumatic,Malignancies, Post Traumatic,Post-Traumatic Neoplasm,Neoplasm, Post-Traumatic,Cancer, Post-Traumatic,Post Traumatic Cancer,Post-Traumatic Malignancies
20;http://purl.bioontology.org/ontology/MESH/D055010;Angiolipoma;A pathological condition that is characterized by a host of cranial symptoms, such as headaches, abnormal functions of the eyes and the ears, and psychological and mental disorders. This syndrome usually appears after neck injuries, inflammation, or neoplasm.;Barre-Lieou Syndrome,Syndrome of Barre-Lieou,Syndrome, Barre-Lieou,Syndrome of Barre Lieou,Barre Lieou Syndrome
21;http://purl.bioontology.org/ontology/MESH/D016217;Antibiotics, Antineoplastic;Use of ultrasound for imaging the breast. The most frequent application is the diagnosis of neoplasms of the female breast.;Ultrasonography, Breast,Mammography, Ultrasound,Mammary Ultrasonographies,Ultrasonic Mammography,Breast Ultrasonography,Ultrasonographies, Breast,Ultrasound Mammographies,Mammographies, Ultrasonic,Ultrasonic Mammographies,Mammography, Ultrasonic,Breast Ultrasonographies,Mammary Ultrasonography,Ultrasonographies, Mammary,Mammographies, Ultrasound,Ultrasound Mammography
22;http://purl.bioontology.org/ontology/MESH/D018322;Antineoplastic Agents;A benign neoplasm of fibrous tissue in which there are numerous small and large, frequently dilated, vascular channels. (Stedman, 25th ed);Angiofibromas
23;http://purl.bioontology.org/ontology/MESH/D052685;Antineoplastic Agents, Immunological;A genus of DNA viruses in the family PAPILLOMAVIRIDAE. They preferentially infect the anogenital and ORAL MUCOSA in humans and primates, causing both malignant and benign neoplasms. Cutaneous lesions are also seen.;Alphapapillomaviruses
24;http://purl.bioontology.org/ontology/MESH/D018294;Antineoplastic Combined Chemotherapy Protocols;Neoplasms composed of sebaceous or sweat gland tissue or tissue of other skin appendages. The concept does not refer to neoplasms located in the sebaceous or sweat glands or in the other skin appendages.;Adnexal and Skin Appendage Neoplasms
25;http://purl.bioontology.org/ontology/MESH/D053578;Antineoplastic Protocols;A neurological condition that is characterized by uncontrolled rapid irregular movements of the eye (OPSOCLONUS) and the muscle (MYOCLONUS) causing unsteady, trembling gait. It is also known as dancing eyes-dancing feet syndrome and is often associated with neoplasms, viral infections, or autoimmune disorders involving the nervous system.;Infants Myoclonic Encephalopathies,Dancing Eyes, Dancing Feet Syndrome,Opsoclonus Myoclonus,Myoclonus, Opsoclonus,Dancing Eyes Dancing Feet Syndrome,Opsoclonus Myoclonus Syndrome,Paraneoplastic Opsoclonus-Myoclonus Ataxia,Paraneoplastic Opsoclonus Myoclonus Ataxia,Myoclonic Encephalopathy of Infants,Opsoclonus Myoclonus Ataxia,Infants Myoclonic Encephalopathy,Kinsbourne Syndrome,Dancing Eyes-Dancing Feet Syndrome
26;http://purl.bioontology.org/ontology/MESH/D019043;Asbestos;Neoplasms located in the vasculature system, such as ARTERIES and VEINS. They are differentiated from neoplasms of vascular tissue (NEOPLASMS, VASCULAR TISSUE), such as ANGIOFIBROMA or HEMANGIOMA.;Neoplasm, Vascular,Neoplasms, Vascular,Vascular Neoplasm
27;http://purl.bioontology.org/ontology/MESH/D021701;Astrocytoma;A diagnostic procedure used to determine whether LYMPHATIC METASTASIS has occurred. The SENTINEL LYMPH NODE is the first lymph node to receive drainage from a neoplasm.;Biopsy, Sentinel Lymph Node,Lymph Node Biopsy, Sentinel
28;http://purl.bioontology.org/ontology/MESH/D011878;Basigin;The use of IONIZING RADIATION to treat malignant NEOPLASMS and some benign conditions.;Targeted Radiation Therapy,Radiotherapies,Radiation Therapies, Targeted,Targeted Radiotherapies,Radiation Therapies,Radiotherapies, Targeted,Therapies, Targeted Radiation,Therapy, Targeted Radiation,Radiation Therapy,Therapies, Radiation,Targeted Radiation Therapies,Radiation Therapy, Targeted,Radiotherapy, Targeted,Therapy, Radiation,Targeted Radiotherapy
29;http://purl.bioontology.org/ontology/MESH/D009379;BCG Vaccine;Neoplasms composed of muscle tissue: skeletal, cardiac, or smooth. The concept does not refer to neoplasms located in muscles.;Myoblastoma,Muscle Tissue Neoplasms,Myoblastomas,Myofibroblastoma,Neoplasm, Muscle Tissue,Myofibroblastomas,Muscle Tissue Neoplasm
30;http://purl.bioontology.org/ontology/MESH/D002283;bcl-X Protein;Malignant neoplasm arising from the epithelium of the BRONCHI. It represents a large group of epithelial lung malignancies which can be divided into two clinical groups: SMALL CELL LUNG CANCER and NON-SMALL-CELL LUNG CARCINOMA.;Carcinoma, Bronchial,Bronchial Carcinomas,Carcinomas, Bronchial,Bronchial Carcinoma,Bronchogenic Carcinomas,Carcinomas, Bronchogenic,Bronchogenic Carcinoma
31;http://purl.bioontology.org/ontology/MESH/D006061;Bone Marrow Neoplasms;Defects in the SEX DETERMINATION PROCESS in 46, XY individuals that result in abnormal gonadal development and deficiencies in TESTOSTERONE and subsequently ANTIMULLERIAN HORMONE or other factors required for normal male sex development. This leads to the development of female phenotypes (male to female sex reversal), normal to tall stature, and bilateral streak or dysgenic gonads which are susceptible to GONADAL TISSUE NEOPLASMS. An XY gonadal dysgenesis is associated with structural abnormalities on the Y CHROMOSOME, a mutation in the GENE, SRY, or a mutation in other autosomal genes that are involved in sex determination.;XY Pure Gonadal Dysgenesis,Sex Reversal, Gonadal, 46, XY,Swyer Syndrome,Pure Gonadal Dysgenesis 46,XY,46,XY Complete Gonadal Dysgenesis,Syndrome, Swyer,46, XY Gonadal Sex Reversal,Gonadal Dysgenesis, 46, XY,Pure Gonadal Dysgenesis, 46, XY,Complete Gonadal Dysgenesis, 46, XY,46, XY Gonadal Dysgenesis
32;http://purl.bioontology.org/ontology/MESH/D008545;Boron Neutron Capture Therapy;A malignant neoplasm derived from cells that are capable of forming melanin, which may occur in the skin of any part of the body, in the eye, or, rarely, in the mucous membranes of the genitalia, anus, oral cavity, or other sites. It occurs mostly in adults and may originate de novo or from a pigmented nevus or malignant lentigo. Melanomas frequently metastasize widely, and the regional lymph nodes, liver, lungs, and brain are likely to be involved. The incidence of malignant skin melanomas is rising rapidly in all parts of the world. (Stedman, 25th ed;Malignant Melanoma,Melanomas, Malignant,Melanoma, Malignant,Malignant Melanomas,Melanomas
33;http://purl.bioontology.org/ontology/MESH/D014572;Brain Neoplasms;A surgical specialty concerned with the study, diagnosis, and treatment of diseases of the urinary tract in both sexes, and the genital tract in the male. Common urological problems include urinary obstruction, URINARY INCONTINENCE, infections, and UROGENITAL NEOPLASMS.;
34;http://purl.bioontology.org/ontology/MESH/D020432;Breast Neoplasms, Male;Diseases of the fourth cranial (trochlear) nerve or its nucleus in the midbrain. The nerve crosses as it exits the midbrain dorsally and may be injured along its course through the intracranial space, cavernous sinus, superior orbital fissure, or orbit. Clinical manifestations include weakness of the superior oblique muscle which causes vertical DIPLOPIA that is maximal when the affected eye is adducted and directed inferiorly. Head tilt may be seen as a compensatory mechanism for diplopia and rotation of the visual axis. Common etiologies include CRANIOCEREBRAL TRAUMA and INFRATENTORIAL NEOPLASMS.;Trochlear Nerve Palsies,Neuropathy, Trochlear,Fourth Nerve Palsies,Superior Oblique Myokymias,Palsy, Trochlear Nerve,Fourth Cranial Nerve Diseases,Myokymias, Superior Oblique,Trochlear Nerve Disorders,Superior Oblique Myokymia,Trochlear Nerve Disease,Palsies, Fourth Nerve,Palsies, Trochlear Nerve,Trochlear Neuropathies,Trochlear Nerve Palsy,Trochlear Nerve Disorder,Neurogenic Superior Oblique Palsy,Superior Oblique Palsy, Neurogenic,Neuropathies, Trochlear,Cranial Nerve IV Diseases,Trochlear Neuropathy,Fourth Nerve Palsy,Myokymia, Superior Oblique,Palsy, Fourth Nerve,Fourth Cranial Nerve Palsy
35;http://purl.bioontology.org/ontology/MESH/D011007;Brenner Tumor;Presence of air or gas within the intracranial cavity (e.g., epidural space, subdural space, intracerebral, etc.) which may result from traumatic injuries, fistulous tract formation, erosions of the skull from NEOPLASMS or infection, NEUROSURGICAL PROCEDURES, and other conditions.;Intracranial Gas,Pneumocephalus, Traumatic,Airocele, Cranial,Epidural Pneumocephalus,Pressure Pneumocephalus,Pneumocephalus, Tension,Pneumocephalus, Epidural,Cranial Airoceles,Pneumocyst, Cranial,Cranial Airocele,Cranial Pneumocysts,Cranial Pneumocyst,Traumatic Pneumocephalus,Airoceles, Cranial,Pneumocysts, Cranial,Tension Pneumocephalus,Gas, Intracranial,Pneumocephalus, Pressure
36;http://purl.bioontology.org/ontology/MESH/D006415;Bromouracil;Iron-free derivatives of heme with 4 methyl groups, 2 hydroxyethyl groups and 2 propionic acid groups attached to the pyrrole rings. Some of these PHOTOSENSITIZING AGENTS are used in the PHOTOTHERAPY of malignant NEOPLASMS.;Hematoporphyrin,Haematoporphyrin IX,Hemedonin
37;http://purl.bioontology.org/ontology/MESH/D004407;Cancer Pain;A malignant ovarian neoplasm, thought to be derived from primordial germ cells of the sexually undifferentiated embryonic gonad. It is the counterpart of the classical seminoma of the testis, to which it is both grossly and histologically identical. Dysgerminomas comprise 16% of all germ cell tumors but are rare before the age of 10, although nearly 50% occur before the age of 20. They are generally considered of low-grade malignancy but may spread if the tumor extends through its capsule and involves lymph nodes or blood vessels. (Dorland, 27th ed;Dysgerminomas,Disgerminoma,Disgerminomas
38;http://purl.bioontology.org/ontology/MESH/D001948;Carbazilquinone;Brenner tumor of borderline malignancy.|A smooth, solid or cystic fibroepithelial (FIBROEPITHELIAL NEOPLASMS) tumor, usually found in the OVARIES but can also be found in the adnexal region and the KIDNEYS. It consists of a fibrous stroma with nests of epithelial cells that sometimes resemble the transitional cells lining the urinary bladder. Brenner tumors generally are benign and asymptomatic. Malignant Brenner tumors have been reported.;Brenner Tumor, Proliferative,Brenner Tumor, Benign,Ovarian Brenner Tumor,Brenner Tumor, Malignant,Benign Brenner Tumor,Brenner Tumor of Ovary,Malignant Brenner Tumor,Ovary Brenner Tumor,Proliferative Brenner Tumor
39;http://purl.bioontology.org/ontology/MESH/D018241;Carcinogens;A group of highly cellular primitive round cell neoplasms which occur extracranially in soft tissue and bone and are derived from embryonal neural crest cells. These tumors occur primarily in children and adolescents and share a number of characteristics with EWING SARCOMA.;Neuroectodermal Neoplasm, Peripheral Primitive,Extracranial Primitive Neuroectodermal Tumor,Peripheral Neuroectodermal Tumor,Neuroepithelioma, Peripheral,Peripheral Neuroepitheliomas,Peripheral Neuroepithelioma,Neuroectodermal Tumor, Peripheral,Neuroectodermal Tumors, Peripheral,Peripheral Primitive Neuroectodermal Tumors,(pPNET) Peripheral Primitive Neuroectodermal Tumors,Primitive Neuroectodermal Tumor, Extracranial,Peripheral Neuroectodermal Tumors,Tumor, Peripheral Neuroectodermal,Peripheral Primitive Neuroectodermal Neoplasm,Neuroectodermal Tumor, Peripheral Primitive,Neuroepitheliomas, Peripheral,Tumors, Peripheral Neuroectodermal
40;http://purl.bioontology.org/ontology/MESH/D065310;Carcinoid Tumor;A cytological test finding often from PAP SMEARS that shows abnormal lesions of SQUAMOUS EPITHELIAL CELLS of the CERVIX. It is a diagnostic criterion used in the Bethesda System for UTERINE CERVICAL NEOPLASMS and represents the PAP TEST result that is abnormal. Although squamous intraepithelial lesions test result does not mean UTERINE CERVICAL NEOPLASMS it requires follow-ups (e.g., HPV DNA TESTS;LSIL, Atypical Squamous Cells Cannot Exclude HSIL,HSIL, High-Grade Squamous Intraepithelial Lesions,Lesion, Squamous Intraepithelial,LSIL, Low-Grade Squamous Intraepithelial Lesions,Lesions, Squamous Intraepithelial,Low-Grade Squamous Intraepithelial Lesions,Intraepithelial Lesion, Squamous,Squamous Intraepithelial Lesion,Squamous Intraepithelial Lesions,LSIL, Low Grade Squamous Intraepithelial Lesions,Low Grade Squamous Intraepithelial Lesions,HSIL, High Grade Squamous Intraepithelial Lesions,High Grade Squamous Intraepithelial Lesions,High-Grade Squamous Intraepithelial Lesions,LSIL ASC-H,Intraepithelial Lesions, Squamous
41;http://purl.bioontology.org/ontology/MESH/D002813;Carcinoma;A slowly growing malignant neoplasm derived from cartilage cells, occurring most frequently in pelvic bones or near the ends of long bones, in middle-aged and old people. Most chondrosarcomas arise de novo, but some may develop in a preexisting benign cartilaginous lesion or in patients with ENCHONDROMATOSIS. (Stedman, 25th ed);Chondrosarcomas
42;http://purl.bioontology.org/ontology/MESH/D000069295;Carcinoma, Basal Cell;A malignant neoplasm of epithelial cells of the SALIVARY GLANDS, with microcystic architecture, low-grade nuclei, and granular vacuolated cytoplasm.;
43;http://purl.bioontology.org/ontology/MESH/D020361;Carcinoma, Bronchogenic;Degenerative or inflammatory conditions affecting the central or peripheral nervous system that develop in association with a systemic neoplasm without direct invasion by tumor. They may be associated with circulating antibodies that react with the affected neural tissue. (Intern Med 1996 Dec;Nervous System Paraneoplastic Syndromes,Neurologic Syndromes, Paraneoplastic,Paraneoplastic Autonomic Dysfunctions,Paraneoplastic Neurologic Syndromes,Paraneoplastic Neurologic Syndrome,Neurologic Syndrome, Paraneoplastic,Syndrome, Paraneoplastic Neurologic,Paraneoplastic Encephalomyelitides,Paraneoplastic Autonomic Dysfunction,Autonomic Dysfunction, Paraneoplastic,Encephalomyelitis, Paraneoplastic,Paraneoplastic Encephalomyelitis,Syndromes, Paraneoplastic Neurologic,Autonomic Dysfunctions, Paraneoplastic
44;http://purl.bioontology.org/ontology/MESH/D018307;Carcinoma, Brown-Pearce;Neoplasms of the SQUAMOUS EPITHELIAL CELLS. The concept does not refer to neoplasms located in tissue composed of squamous elements.;Cell Neoplasm, Squamous,Cell Cancer, Squamous,Cell Cancers, Squamous,Squamous Cell Cancers,Squamous Cell Neoplasm,Neoplasm, Squamous Cell,Squamous Cell Cancer,Cancer, Squamous Cell,Cell Neoplasms, Squamous,Squamous Cell Neoplasms,Cancers, Squamous Cell
45;http://purl.bioontology.org/ontology/MESH/D020364;Carcinoma, Ductal;A diffuse or multifocal peripheral neuropathy related to the remote effects of a neoplasm, most often carcinoma or lymphoma. Pathologically, there are inflammatory changes in peripheral nerves. The most common clinical presentation is a symmetric distal mixed sensorimotor polyneuropathy. (Adams et al., Principles of Neurology, 6th ed, p1334);Paraneoplastic Neuropathy,Neuropathies, Paraneoplastic,Paraneoplastic Peripheral Neuropathies,Paraneoplastic Neuropathies,Peripheral Neuropathies, Paraneoplastic,Peripheral Neuropathy, Paraneoplastic,Polyneuropathy, Paraneoplastic,Polyneuropathies, Paraneoplastic,Neuropathy, Paraneoplastic Peripheral,Neuropathy, Paraneoplastic,Paraneoplastic Peripheral Neuropathy,Paraneoplastic Polyneuropathies,Neuropathies, Paraneoplastic Peripheral
46;http://purl.bioontology.org/ontology/MESH/D047868;Carcinoma, Giant Cell;A benign neoplasm of pneumocytes, cells of the PULMONARY ALVEOLI. Originally considered to be vascular in origin, it is now classified as an epithelial tumor with several elements, including solid cellular areas, papillary structure, sclerotic regions, and dilated blood-filled spaces resembling HEMANGIOMA.;Lung Sclerosing Hemangioma,Sclerosing Hemangioma, Lung,Sclerosing Hemangioma of the Lung,Pulmonary Sclerosing Hemangiomas,Sclerosing Hemangiomas, Lung,Hemangioma, Sclerosing, Pulmonary,Lung Sclerosing Hemangiomas,Sclerosing Hemangiomas, Pulmonary,Sclerosing Hemangioma, Pulmonary
47;http://purl.bioontology.org/ontology/MESH/D009442;Carcinoma, Hepatocellular;A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves. Clinically, these tumors may present as a cranial neuropathy, abdominal or soft tissue mass, intracranial lesion, or with spinal cord compression. Histologically, these tumors are encapsulated, highly vascular, and composed of a homogenous pattern of biphasic fusiform-shaped cells that may have a palisaded appearance. (From DeVita Jr et al., Cancer: Principles and Practice of Oncology, 5th ed, pp964-5);Schwannomas,Neurilemomas, Malignant,Neurinoma,Neurilemoma, Malignant,Schwannoma,Malignant Neurilemmoma,Schwannomatosis, Plexiform,Plexiform Schwannomatoses,Schwannomatoses, Plexiform,MPNST,Neurilemmosarcomas,Neurilemmosarcoma,Malignant Neurilemomas,Plexiform Schwannomatosis,Neurilemmomas, Malignant,Malignant Neurilemoma,Schwannomas, Malignant,Malignant Peripheral Nerve Sheath Tumors,Neurilemmomas,MPNSTs,Malignant Neurilemmomas,Neurilemoma,Peripheral Nerve Sheath Tumors, Malignant,Neurilemmoma, Malignant,Neurilemomas,Malignant Schwannomas,Malignant Schwannoma,Schwannoma, Malignant,Neurinomas
48;http://purl.bioontology.org/ontology/MESH/D002296;Carcinoma, Islet Cell;A malignant neoplasm that contains elements of carcinoma and sarcoma so extensively intermixed as to indicate neoplasia of epithelial and mesenchymal tissue. (Stedman, 25th ed);Carcinosarcomas
49;http://purl.bioontology.org/ontology/MESH/D000074322;Carcinoma, Krebs 2;Monoclonal antibodies that inhibit or prevent the proliferation of NEOPLASMS.|Antineoplastic agents containing immunological agents (e.g. MAbs). These pharmacologic preparations inhibit or prevent the proliferation of NEOPLASMS.;Antibodies Antineoplastics, Monoclonal,Antineoplastic MAbs,MAbs, Antineoplastic,Antineoplastics, Monoclonal Antibody,Monoclonal Antibodies Antineoplastics,Antineoplastic Monoclonal Antibodies,Immunological Antineoplastic Agents,Monoclonal Antibodies, Antineoplastic,Antineoplastics, Monoclonal Antibodies,Monoclonal Antibody Antineoplastics
50;http://purl.bioontology.org/ontology/MESH/D017599;Carcinoma, Papillary;Malignant neoplasms arising in the neuroectoderm, the portion of the ectoderm of the early embryo that gives rise to the central and peripheral nervous systems, including some glial cells.;Neuroectodermal Tumor,Tumors, Neuroectodermal,Tumor, Neuroectodermal
51;http://purl.bioontology.org/ontology/MESH/D018567;Carcinoma, Papillary, Follicular;Any neoplasms of the male breast. These occur infrequently in males in developed countries, the incidence being about 1% of that in females.;Breast Carcinoma, Male,Male Breast Tumor,Male Breast Neoplasm,Male Breast Tumors,Neoplasms, Male Breast,Neoplasm, Male Breast,Neoplasms, Breast, Male,Breast Tumor, Male,Male Breast Carcinoma,Tumor, Male Breast,Cancer, Male Breast,Breast Cancer, Male,Tumors, Breast, Male,Breast Neoplasm, Male,Male Breast Neoplasms,Breast Tumors, Male,Carcinoma, Male Breast,Male Breast Cancer,Tumors, Male Breast
52;http://purl.bioontology.org/ontology/MESH/D014212;Carcinoma, Small Cell;An important regulator of GENE EXPRESSION during growth and development, and in NEOPLASMS. Tretinoin, also known as retinoic acid and derived from maternal VITAMIN A, is essential for normal GROWTH;Acid, beta-all-trans-Retinoic,beta-all-trans-Retinoic Acid,trans Retinoic Acid,Acid, all-trans-Retinoic,Retinoic acid,Retinoic Acid,Tretinoin Zinc Salt,Salt, Tretinoin Potassium,trans-Retinoic Acid,all-trans-Retinoic Acid,Vitamin A Acid,Retin-A,Acid, trans-Retinoic,Acid, Vitamin A,Potassium Salt, Tretinoin,beta all trans Retinoic Acid,Salt, Tretinoin Zinc,Tretinoin Potassium Salt,Sodium Salt, Tretinoin,Zinc Salt, Tretinoin,Acid, Retinoic,Salt, Tretinoin Sodium,Vesanoid,Retin A,Tretinoin Sodium Salt,all trans Retinoic Acid
53;http://purl.bioontology.org/ontology/MESH/D013479;Carcinoma, Transitional Cell;A condition that occurs when the obstruction of the thin-walled SUPERIOR VENA CAVA interrupts blood flow from the head, upper extremities, and thorax to the RIGHT ATRIUM. Obstruction can be caused by NEOPLASMS;Superior Vena Cava Thrombosis,Superior Vena Cava Obstruction
